DATE,T (degC)
2009-01-01,15
2009-01-02,14
2009-01-03,14
2009-01-04,14
2009-01-05,10
2009-01-06,13
2009-01-07,10
2009-01-08,11
2009-01-09,11
2009-01-10,12
2009-01-11,12
2009-01-12,11
2009-01-13,11
2009-01-14,10
2009-01-15,13
2009-01-16,14
2009-01-17,14
2009-01-18,14
2009-01-19,15
2009-01-20,12
2009-01-21,9
2009-01-22,12
2009-01-23,16
2009-01-24,16
2009-01-25,13
2009-01-26,11
2009-01-27,10
2009-01-28,13
2009-01-29,14
2009-01-30,17
2009-01-31,13
2009-02-01,12
2009-02-02,16
2009-02-03,12
2009-02-04,17
2009-02-05,16
2009-02-06,14
2009-02-07,10
2009-02-08,10
2009-02-09,15
2009-02-10,16
2009-02-11,13
2009-02-12,13
2009-02-13,10
2009-02-14,13
2009-02-15,12
2009-02-16,12
2009-02-17,11
2009-02-18,13
2009-02-19,14
2009-02-20,13
2009-02-21,12
2009-02-22,11
2009-02-23,15
2009-02-24,13
2009-02-25,13
2009-02-26,15
2009-02-27,18
2009-02-28,17
2009-03-01,16
2009-03-02,17
2009-03-03,20
2009-03-04,12
2009-03-05,11
2009-03-06,11
2009-03-07,14
2009-03-08,17
2009-03-09,17
2009-03-10,17
2009-03-11,17
2009-03-12,15
2009-03-13,17
2009-03-14,20
2009-03-15,19
2009-03-16,16
2009-03-17,13
2009-03-18,16
2009-03-19,18
2009-03-20,17
2009-03-21,14
2009-03-22,13
2009-03-23,16
2009-03-24,19
2009-03-25,18
2009-03-26,19
2009-03-27,24
2009-03-28,22
2009-03-29,17
2009-03-30,12
2009-03-31,14
2009-04-01,15
2009-04-02,14
2009-04-03,10
2009-04-04,14
2009-04-05,18
2009-04-06,22
2009-04-07,19
2009-04-08,14
2009-04-09,15
2009-04-10,20
2009-04-11,15
2009-04-12,12
2009-04-13,15
2009-04-14,20
2009-04-15,20
2009-04-16,18
2009-04-17,17
2009-04-18,17
2009-04-19,12
2009-04-20,16
2009-04-21,15
2009-04-22,15
2009-04-23,19
2009-04-24,25
2009-04-25,22
2009-04-26,19
2009-04-27,16
2009-04-28,19
2009-04-29,19
2009-04-30,20
2009-05-01,16
2009-05-02,16
2009-05-03,19
2009-05-04,21
2009-05-05,19
2009-05-06,18
2009-05-07,22
2009-05-08,28
2009-05-09,26
2009-05-10,28
2009-05-11,31
2009-05-12,26
2009-05-13,21
2009-05-14,16
2009-05-15,18
2009-05-16,21
2009-05-17,26
2009-05-18,25
2009-05-19,26
2009-05-20,33
2009-05-21,34
2009-05-22,31
2009-05-23,29
2009-05-24,26
2009-05-25,24
2009-05-26,23
2009-05-27,21
2009-05-28,23
2009-05-29,25
2009-05-30,28
2009-05-31,24
2009-06-01,26
2009-06-02,26
2009-06-03,27
2009-06-04,27
2009-06-05,28
2009-06-06,24
2009-06-07,24
2009-06-08,26
2009-06-09,24
2009-06-10,26
2009-06-11,29
2009-06-12,30
2009-06-13,33
2009-06-14,36
2009-06-15,32
2009-06-16,31
2009-06-17,30
2009-06-18,29
2009-06-19,30
2009-06-20,28
2009-06-21,26
2009-06-22,26
2009-06-23,27
2009-06-24,29
2009-06-25,30
2009-06-26,28
2009-06-27,28
2009-06-28,30
2009-06-29,29
2009-06-30,29
2009-07-01,30
2009-07-02,32
2009-07-03,32
2009-07-04,32
2009-07-05,33
2009-07-06,33
2009-07-07,31
2009-07-08,29
2009-07-09,29
2009-07-10,29
2009-07-11,30
2009-07-12,33
2009-07-13,38
2009-07-14,32
2009-07-15,32
2009-07-16,31
2009-07-17,31
2009-07-18,27
2009-07-19,28
2009-07-20,31
2009-07-21,35
2009-07-22,38
2009-07-23,35
2009-07-24,34
2009-07-25,31
2009-07-26,33
2009-07-27,36
2009-07-28,33
2009-07-29,32
2009-07-30,31
2009-07-31,30
2009-08-01,31
2009-08-02,32
2009-08-03,30
2009-08-04,30
2009-08-05,33
2009-08-06,34
2009-08-07,31
2009-08-08,29
2009-08-09,31
2009-08-10,33
2009-08-11,34
2009-08-12,33
2009-08-13,28
2009-08-14,29
2009-08-15,30
2009-08-16,30
2009-08-17,29
2009-08-18,32
2009-08-19,31
2009-08-20,30
2009-08-21,29
2009-08-22,31
2009-08-23,33
2009-08-24,32
2009-08-25,31
2009-08-26,30
2009-08-27,30
2009-08-28,28
2009-08-29,28
2009-08-30,31
2009-08-31,30
2009-09-01,33
2009-09-02,29
2009-09-03,32
2009-09-04,31
2009-09-05,29
2009-09-06,28
2009-09-07,28
2009-09-08,27
2009-09-09,26
2009-09-10,27
2009-09-11,26
2009-09-12,24
2009-09-13,25
2009-09-14,27
2009-09-15,23
2009-09-16,23
2009-09-17,26
2009-09-18,24
2009-09-19,23
2009-09-20,24
2009-09-21,22
2009-09-22,22
2009-09-23,22
2009-09-24,21
2009-09-25,24
2009-09-26,24
2009-09-27,26
2009-09-28,26
2009-09-29,25
2009-09-30,26
2009-10-01,23
2009-10-02,24
2009-10-03,24
2009-10-04,26
2009-10-05,29
2009-10-06,32
2009-10-07,31
2009-10-08,28
2009-10-09,26
2009-10-10,25
2009-10-11,24
2009-10-12,24
2009-10-13,22
2009-10-14,23
2009-10-15,21
2009-10-16,19
2009-10-17,21
2009-10-18,19
2009-10-19,19
2009-10-20,25
2009-10-21,23
2009-10-22,24
2009-10-23,21
2009-10-24,22
2009-10-25,23
2009-10-26,23
2009-10-27,23
2009-10-28,22
2009-10-29,23
2009-10-30,22
2009-10-31,22
2009-11-01,22
2009-11-02,23
2009-11-03,21
2009-11-04,23
2009-11-05,18
2009-11-06,16
2009-11-07,20
2009-11-08,16
2009-11-09,14
2009-11-10,16
2009-11-11,19
2009-11-12,21
2009-11-13,23
2009-11-14,24
2009-11-15,25
2009-11-16,25
2009-11-17,25
2009-11-18,25
2009-11-19,22
2009-11-20,20
2009-11-21,22
2009-11-22,21
2009-11-23,18
2009-11-24,19
2009-11-25,21
2009-11-26,19
2009-11-27,20
2009-11-28,18
2009-11-29,21
2009-11-30,15
2009-12-01,13
2009-12-02,16
2009-12-03,14
2009-12-04,15
2009-12-05,15
2009-12-06,17
2009-12-07,18
2009-12-08,17
2009-12-09,17
2009-12-10,16
2009-12-11,17
2009-12-12,15
2009-12-13,16
2009-12-14,16
2009-12-15,10
2009-12-16,14
2009-12-17,17
2009-12-18,16
2009-12-19,13
2009-12-20,10
2009-12-21,16
2009-12-22,20
2009-12-23,19
2009-12-24,22
2009-12-25,20
2009-12-26,20
2009-12-27,14
2009-12-28,18
2009-12-29,22
2009-12-30,21
2009-12-31,19
2010-01-01,15
2010-01-02,15
2010-01-03,17
2010-01-04,19
2010-01-05,15
2010-01-06,14
2010-01-07,18
2010-01-08,13
2010-01-09,7
2010-01-10,11
2010-01-11,12
2010-01-12,14
2010-01-13,15
2010-01-14,17
2010-01-15,11
2010-01-16,15
2010-01-17,16
2010-01-18,17
2010-01-19,16
2010-01-20,14
2010-01-21,14
2010-01-22,15
2010-01-23,15
2010-01-24,13
2010-01-25,15
2010-01-26,14
2010-01-27,11
2010-01-28,10
2010-01-29,11
2010-01-30,13
2010-01-31,13
2010-02-01,11
2010-02-02,12
2010-02-03,17
2010-02-04,18
2010-02-05,17
2010-02-06,15
2010-02-07,15
2010-02-08,15
2010-02-09,13
2010-02-10,11
2010-02-11,9
2010-02-12,9
2010-02-13,9
2010-02-14,9
2010-02-15,13
2010-02-16,16
2010-02-17,18
2010-02-18,21
2010-02-19,15
2010-02-20,13
2010-02-21,15
2010-02-22,20
2010-02-23,18
2010-02-24,17
2010-02-25,20
2010-02-26,18
2010-02-27,22
2010-02-28,20
2010-03-01,17
2010-03-02,16
2010-03-03,17
2010-03-04,15
2010-03-05,18
2010-03-06,12
2010-03-07,12
2010-03-08,13
2010-03-09,8
2010-03-10,10
2010-03-11,13
2010-03-12,11
2010-03-13,10
2010-03-14,12
2010-03-15,13
2010-03-16,16
2010-03-17,19
2010-03-18,21
2010-03-19,22
2010-03-20,24
2010-03-21,21
2010-03-22,16
2010-03-23,17
2010-03-24,21
2010-03-25,20
2010-03-26,19
2010-03-27,18
2010-03-28,20
2010-03-29,23
2010-03-30,18
2010-03-31,18
2010-04-01,16
2010-04-02,18
2010-04-03,23
2010-04-04,16
2010-04-05,18
2010-04-06,22
2010-04-07,17
2010-04-08,13
2010-04-09,13
2010-04-10,17
2010-04-11,19
2010-04-12,18
2010-04-13,19
2010-04-14,19
2010-04-15,17
2010-04-16,18
2010-04-17,17
2010-04-18,16
2010-04-19,18
2010-04-20,21
2010-04-21,24
2010-04-22,18
2010-04-23,18
2010-04-24,20
2010-04-25,20
2010-04-26,20
2010-04-27,23
2010-04-28,20
2010-04-29,22
2010-04-30,25
2010-05-01,23
2010-05-02,21
2010-05-03,20
2010-05-04,15
2010-05-05,14
2010-05-06,20
2010-05-07,19
2010-05-08,21
2010-05-09,26
2010-05-10,22
2010-05-11,22
2010-05-12,18
2010-05-13,17
2010-05-14,13
2010-05-15,16
2010-05-16,19
2010-05-17,19
2010-05-18,21
2010-05-19,20
2010-05-20,19
2010-05-21,22
2010-05-22,21
2010-05-23,21
2010-05-24,22
2010-05-25,28
2010-05-26,26
2010-05-27,22
2010-05-28,21
2010-05-29,18
2010-05-30,22
2010-05-31,26
2010-06-01,27
2010-06-02,27
2010-06-03,26
2010-06-04,25
2010-06-05,26
2010-06-06,28
2010-06-07,26
2010-06-08,27
2010-06-09,26
2010-06-10,25
2010-06-11,24
2010-06-12,23
2010-06-13,23
2010-06-14,23
2010-06-15,21
2010-06-16,21
2010-06-17,23
2010-06-18,23
2010-06-19,23
2010-06-20,23
2010-06-21,24
2010-06-22,24
2010-06-23,25
2010-06-24,27
2010-06-25,29
2010-06-26,26
2010-06-27,26
2010-06-28,26
2010-06-29,27
2010-06-30,27
2010-07-01,29
2010-07-02,29
2010-07-03,28
2010-07-04,30
2010-07-05,31
2010-07-06,28
2010-07-07,30
2010-07-08,33
2010-07-09,34
2010-07-10,32
2010-07-11,29
2010-07-12,29
2010-07-13,30
2010-07-14,32
2010-07-15,31
2010-07-16,32
2010-07-17,31
2010-07-18,30
2010-07-19,30
2010-07-20,32
2010-07-21,32
2010-07-22,31
2010-07-23,27
2010-07-24,28
2010-07-25,29
2010-07-26,28
2010-07-27,28
2010-07-28,30
2010-07-29,30
2010-07-30,30
2010-07-31,30
2010-08-01,31
2010-08-02,34
2010-08-03,29
2010-08-04,28
2010-08-05,29
2010-08-06,29
2010-08-07,29
2010-08-08,31
2010-08-09,33
2010-08-10,29
2010-08-11,31
2010-08-12,34
2010-08-13,29
2010-08-14,27
2010-08-15,30
2010-08-16,29
2010-08-17,27
2010-08-18,27
2010-08-19,31
2010-08-20,30
2010-08-21,29
2010-08-22,29
2010-08-23,31
2010-08-24,32
2010-08-25,31
2010-08-26,32
2010-08-27,35
2010-08-28,32
2010-08-29,28
2010-08-30,28
2010-08-31,27
2010-09-01,30
2010-09-02,27
2010-09-03,25
2010-09-04,26
2010-09-05,29
2010-09-06,29
2010-09-07,30
2010-09-08,27
2010-09-09,26
2010-09-10,26
2010-09-11,28
2010-09-12,27
2010-09-13,27
2010-09-14,26
2010-09-15,25
2010-09-16,30
2010-09-17,31
2010-09-18,28
2010-09-19,28
2010-09-20,27
2010-09-21,27
2010-09-22,27
2010-09-23,28
2010-09-24,25
2010-09-25,23
2010-09-26,25
2010-09-27,24
2010-09-28,23
2010-09-29,24
2010-09-30,27
2010-10-01,28
2010-10-02,29
2010-10-03,30
2010-10-04,28
2010-10-05,25
2010-10-06,33
2010-10-07,32
2010-10-08,27
2010-10-09,29
2010-10-10,22
2010-10-11,21
2010-10-12,22
2010-10-13,19
2010-10-14,22
2010-10-15,22
2010-10-16,21
2010-10-17,19
2010-10-18,17
2010-10-19,18
2010-10-20,21
2010-10-21,21
2010-10-22,22
2010-10-23,22
2010-10-24,20
2010-10-25,18
2010-10-26,16
2010-10-27,18
2010-10-28,21
2010-10-29,23
2010-10-30,24
2010-10-31,24
2010-11-01,17
2010-11-02,17
2010-11-03,17
2010-11-04,17
2010-11-05,17
2010-11-06,18
2010-11-07,19
2010-11-08,17
2010-11-09,21
2010-11-10,17
2010-11-11,16
2010-11-12,18
2010-11-13,21
2010-11-14,21
2010-11-15,16
2010-11-16,15
2010-11-17,17
2010-11-18,16
2010-11-19,16
2010-11-20,19
2010-11-21,15
2010-11-22,14
2010-11-23,15
2010-11-24,15
2010-11-25,17
2010-11-26,13
2010-11-27,16
2010-11-28,15
2010-11-29,20
2010-11-30,21
2010-12-01,16
2010-12-02,15
2010-12-03,12
2010-12-04,12
2010-12-05,16
2010-12-06,21
2010-12-07,22
2010-12-08,23
2010-12-09,23
2010-12-10,17
2010-12-11,16
2010-12-12,17
2010-12-13,15
2010-12-14,14
2010-12-15,10
2010-12-16,6
2010-12-17,11
2010-12-18,15
2010-12-19,19
2010-12-20,17
2010-12-21,16
2010-12-22,18
2010-12-23,14
2010-12-24,11
2010-12-25,11
2010-12-26,10
2010-12-27,11
2010-12-28,14
2010-12-29,17
2010-12-30,16
2010-12-31,14
2011-01-01,14
2011-01-02,14
2011-01-03,13
2011-01-04,13
2011-01-05,16
2011-01-06,18
2011-01-07,19
2011-01-08,19
2011-01-09,18
2011-01-10,15
2011-01-11,14
2011-01-12,14
2011-01-13,16
2011-01-14,19
2011-01-15,17
2011-01-16,19
2011-01-17,15
2011-01-18,14
2011-01-19,15
2011-01-20,12
2011-01-21,8
2011-01-22,8
2011-01-23,7
2011-01-24,12
2011-01-25,12
2011-01-26,14
2011-01-27,15
2011-01-28,16
2011-01-29,16
2011-01-30,13
2011-01-31,11
2011-02-01,9
2011-02-02,8
2011-02-03,11
2011-02-04,12
2011-02-05,13
2011-02-06,13
2011-02-07,15
2011-02-08,13
2011-02-09,13
2011-02-10,15
2011-02-11,16
2011-02-12,14
2011-02-13,14
2011-02-14,12
2011-02-15,16
2011-02-16,15
2011-02-17,13
2011-02-18,13
2011-02-19,15
2011-02-20,16
2011-02-21,12
2011-02-22,16
2011-02-23,13
2011-02-24,15
2011-02-25,13
2011-02-26,16
2011-02-27,15
2011-02-28,11
2011-03-01,9
2011-03-02,11
2011-03-03,17
2011-03-04,15
2011-03-05,14
2011-03-06,13
2011-03-07,20
2011-03-08,19
2011-03-09,17
2011-03-10,15
2011-03-11,19
2011-03-12,16
2011-03-13,19
2011-03-14,22
2011-03-15,18
2011-03-16,15
2011-03-17,14
2011-03-18,16
2011-03-19,17
2011-03-20,17
2011-03-21,14
2011-03-22,16
2011-03-23,17
2011-03-24,18
2011-03-25,19
2011-03-26,19
2011-03-27,19
2011-03-28,18
2011-03-29,18
2011-03-30,16
2011-03-31,17
2011-04-01,20
2011-04-02,24
2011-04-03,26
2011-04-04,21
2011-04-05,21
2011-04-06,23
2011-04-07,22
2011-04-08,22
2011-04-09,24
2011-04-10,23
2011-04-11,19
2011-04-12,19
2011-04-13,21
2011-04-14,25
2011-04-15,19
2011-04-16,17
2011-04-17,19
2011-04-18,22
2011-04-19,20
2011-04-20,22
2011-04-21,22
2011-04-22,21
2011-04-23,19
2011-04-24,18
2011-04-25,14
2011-04-26,17
2011-04-27,19
2011-04-28,23
2011-04-29,23
2011-04-30,16
2011-05-01,22
2011-05-02,18
2011-05-03,19
2011-05-04,21
2011-05-05,22
2011-05-06,28
2011-05-07,27
2011-05-08,21
2011-05-09,20
2011-05-10,22
2011-05-11,22
2011-05-12,23
2011-05-13,24
2011-05-14,24
2011-05-15,20
2011-05-16,20
2011-05-17,21
2011-05-18,23
2011-05-19,21
2011-05-20,19
2011-05-21,16
2011-05-22,18
2011-05-23,21
2011-05-24,22
2011-05-25,24
2011-05-26,27
2011-05-27,25
2011-05-28,25
2011-05-29,22
2011-05-30,23
2011-05-31,24
2011-06-01,20
2011-06-02,19
2011-06-03,20
2011-06-04,21
2011-06-05,21
2011-06-06,20
2011-06-07,22
2011-06-08,22
2011-06-09,24
2011-06-10,23
2011-06-11,23
2011-06-12,26
2011-06-13,27
2011-06-14,26
2011-06-15,26
2011-06-16,28
2011-06-17,31
2011-06-18,30
2011-06-19,27
2011-06-20,27
2011-06-21,28
2011-06-22,28
2011-06-23,29
2011-06-24,27
2011-06-25,27
2011-06-26,26
2011-06-27,28
2011-06-28,29
2011-06-29,29
2011-06-30,27
2011-07-01,27
2011-07-02,30
2011-07-03,35
2011-07-04,26
2011-07-05,26
2011-07-06,30
2011-07-07,33
2011-07-08,31
2011-07-09,32
2011-07-10,31
2011-07-11,34
2011-07-12,34
2011-07-13,29
2011-07-14,27
2011-07-15,27
2011-07-16,29
2011-07-17,31
2011-07-18,29
2011-07-19,30
2011-07-20,27
2011-07-21,30
2011-07-22,30
2011-07-23,26
2011-07-24,27
2011-07-25,26
2011-07-26,30
2011-07-27,33
2011-07-28,27
2011-07-29,28
2011-07-30,28
2011-07-31,29
2011-08-01,31
2011-08-02,31
2011-08-03,31
2011-08-04,29
2011-08-05,28
2011-08-06,31
2011-08-07,34
2011-08-08,32
2011-08-09,28
2011-08-10,26
2011-08-11,28
2011-08-12,31
2011-08-13,32
2011-08-14,30
2011-08-15,32
2011-08-16,32
2011-08-17,33
2011-08-18,37
2011-08-19,31
2011-08-20,32
2011-08-21,33
2011-08-22,30
2011-08-23,31
2011-08-24,30
2011-08-25,31
2011-08-26,33
2011-08-27,29
2011-08-28,30
2011-08-29,30
2011-08-30,31
2011-08-31,31
2011-09-01,32
2011-09-02,28
2011-09-03,23
2011-09-04,26
2011-09-05,27
2011-09-06,27
2011-09-07,27
2011-09-08,29
2011-09-09,31
2011-09-10,30
2011-09-11,28
2011-09-12,28
2011-09-13,29
2011-09-14,28
2011-09-15,28
2011-09-16,29
2011-09-17,27
2011-09-18,30
2011-09-19,24
2011-09-20,26
2011-09-21,28
2011-09-22,26
2011-09-23,26
2011-09-24,25
2011-09-25,25
2011-09-26,26
2011-09-27,25
2011-09-28,25
2011-09-29,26
2011-09-30,26
2011-10-01,26
2011-10-02,25
2011-10-03,24
2011-10-04,24
2011-10-05,24
2011-10-06,25
2011-10-07,25
2011-10-08,20
2011-10-09,21
2011-10-10,23
2011-10-11,26
2011-10-12,26
2011-10-13,27
2011-10-14,24
2011-10-15,22
2011-10-16,21
2011-10-17,21
2011-10-18,24
2011-10-19,24
2011-10-20,22
2011-10-21,22
2011-10-22,24
2011-10-23,25
2011-10-24,25
2011-10-25,20
2011-10-26,21
2011-10-27,26
2011-10-28,19
2011-10-29,20
2011-10-30,19
2011-10-31,20
2011-11-01,20
2011-11-02,23
2011-11-03,25
2011-11-04,25
2011-11-05,17
2011-11-06,16
2011-11-07,18
2011-11-08,19
2011-11-09,19
2011-11-10,19
2011-11-11,22
2011-11-12,23
2011-11-13,22
2011-11-14,21
2011-11-15,17
2011-11-16,18
2011-11-17,18
2011-11-18,20
2011-11-19,20
2011-11-20,20
2011-11-21,16
2011-11-22,16
2011-11-23,16
2011-11-24,17
2011-11-25,18
2011-11-26,17
2011-11-27,17
2011-11-28,17
2011-11-29,16
2011-11-30,17
2011-12-01,19
2011-12-02,18
2011-12-03,16
2011-12-04,15
2011-12-05,17
2011-12-06,17
2011-12-07,17
2011-12-08,18
2011-12-09,18
2011-12-10,17
2011-12-11,17
2011-12-12,14
2011-12-13,17
2011-12-14,18
2011-12-15,17
2011-12-16,18
2011-12-17,13
2011-12-18,12
2011-12-19,10
2011-12-20,13
2011-12-21,14
2011-12-22,16
2011-12-23,15
2011-12-24,14
2011-12-25,14
2011-12-26,12
2011-12-27,13
2011-12-28,12
2011-12-29,12
2011-12-30,12
2011-12-31,14
2012-01-01,16
2012-01-02,17
2012-01-03,14
2012-01-04,15
2012-01-05,16
2012-01-06,15
2012-01-07,15
2012-01-08,15
2012-01-09,14
2012-01-10,13
2012-01-11,14
2012-01-12,15
2012-01-13,15
2012-01-14,15
2012-01-15,14
2012-01-16,13
2012-01-17,14
2012-01-18,12
2012-01-19,13
2012-01-20,13
2012-01-21,13
2012-01-22,13
2012-01-23,14
2012-01-24,14
2012-01-25,14
2012-01-26,14
2012-01-27,14
2012-01-28,14
2012-01-29,9
2012-01-30,9
2012-01-31,12
2012-02-01,14
2012-02-02,13
2012-02-03,7
2012-02-04,4
2012-02-05,5
2012-02-06,8
2012-02-07,7
2012-02-08,6
2012-02-09,7
2012-02-10,10
2012-02-11,7
2012-02-12,7
2012-02-13,5
2012-02-14,8
2012-02-15,9
2012-02-16,11
2012-02-17,13
2012-02-18,13
2012-02-19,11
2012-02-20,12
2012-02-21,10
2012-02-22,9
2012-02-23,12
2012-02-24,14
2012-02-25,15
2012-02-26,15
2012-02-27,15
2012-02-28,15
2012-02-29,14
2012-03-01,14
2012-03-02,18
2012-03-03,16
2012-03-04,17
2012-03-05,14
2012-03-06,10
2012-03-07,10
2012-03-08,12
2012-03-09,8
2012-03-10,12
2012-03-11,12
2012-03-12,14
2012-03-13,17
2012-03-14,18
2012-03-15,18
2012-03-16,20
2012-03-17,18
2012-03-18,19
2012-03-19,15
2012-03-20,19
2012-03-21,19
2012-03-22,15
2012-03-23,20
2012-03-24,18
2012-03-25,15
2012-03-26,13
2012-03-27,16
2012-03-28,16
2012-03-29,18
2012-03-30,16
2012-03-31,19
2012-04-01,18
2012-04-02,16
2012-04-03,18
2012-04-04,17
2012-04-05,18
2012-04-06,15
2012-04-07,17
2012-04-08,17
2012-04-09,20
2012-04-10,22
2012-04-11,18
2012-04-12,18
2012-04-13,14
2012-04-14,15
2012-04-15,13
2012-04-16,12
2012-04-17,14
2012-04-18,19
2012-04-19,15
2012-04-20,17
2012-04-21,20
2012-04-22,20
2012-04-23,19
2012-04-24,19
2012-04-25,22
2012-04-26,27
2012-04-27,23
2012-04-28,25
2012-04-29,19
2012-04-30,17
2012-05-01,17
2012-05-02,20
2012-05-03,18
2012-05-04,21
2012-05-05,21
2012-05-06,19
2012-05-07,19
2012-05-08,22
2012-05-09,23
2012-05-10,24
2012-05-11,23
2012-05-12,23
2012-05-13,26
2012-05-14,22
2012-05-15,22
2012-05-16,23
2012-05-17,26
2012-05-18,26
2012-05-19,24
2012-05-20,19
2012-05-21,18
2012-05-22,21
2012-05-23,22
2012-05-24,23
2012-05-25,23
2012-05-26,25
2012-05-27,25
2012-05-28,24
2012-05-29,22
2012-05-30,26
2012-05-31,27
2012-06-01,28
2012-06-02,28
2012-06-03,24
2012-06-04,25
2012-06-05,27
2012-06-06,29
2012-06-07,36
2012-06-08,27
2012-06-09,24
2012-06-10,26
2012-06-11,29
2012-06-12,24
2012-06-13,25
2012-06-14,27
2012-06-15,24
2012-06-16,24
2012-06-17,26
2012-06-18,30
2012-06-19,35
2012-06-20,27
2012-06-21,29
2012-06-22,29
2012-06-23,30
2012-06-24,30
2012-06-25,29
2012-06-26,32
2012-06-27,33
2012-06-28,32
2012-06-29,34
2012-06-30,33
2012-07-01,29
2012-07-02,27
2012-07-03,27
2012-07-04,29
2012-07-05,31
2012-07-06,30
2012-07-07,31
2012-07-08,29
2012-07-09,30
2012-07-10,30
2012-07-11,32
2012-07-12,29
2012-07-13,32
2012-07-14,35
2012-07-15,29
2012-07-16,27
2012-07-17,27
2012-07-18,29
2012-07-19,32
2012-07-20,30
2012-07-21,29
2012-07-22,27
2012-07-23,26
2012-07-24,26
2012-07-25,31
2012-07-26,36
2012-07-27,31
2012-07-28,30
2012-07-29,23
2012-07-30,30
2012-07-31,33
2012-08-01,34
2012-08-02,35
2012-08-03,33
2012-08-04,31
2012-08-05,32
2012-08-06,29
2012-08-07,31
2012-08-08,31
2012-08-09,35
2012-08-10,35
2012-08-11,34
2012-08-12,34
2012-08-13,33
2012-08-14,32
2012-08-15,32
2012-08-16,33
2012-08-17,38
2012-08-18,36
2012-08-19,34
2012-08-20,32
2012-08-21,33
2012-08-22,34
2012-08-23,33
2012-08-24,34
2012-08-25,33
2012-08-26,30
2012-08-27,31
2012-08-28,32
2012-08-29,34
2012-08-30,31
2012-08-31,25
2012-09-01,26
2012-09-02,22
2012-09-03,23
2012-09-04,25
2012-09-05,29
2012-09-06,28
2012-09-07,29
2012-09-08,27
2012-09-09,27
2012-09-10,29
